"module name","license","repository"
"@mapbox/node-pre-gyp@1.0.5","BSD-3-Clause","https://github.com/mapbox/node-pre-gyp"
"@types/component-emitter@1.2.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cookie@0.4.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cors@2.8.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@16.7.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.3.7","MIT","https://github.com/jshttp/accepts"
"addressparser@1.0.1","MIT","https://github.com/andris9/addressparser"
"agent-base@6.0.2","MIT","https://github.com/TooTallNate/node-agent-base"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"aproba@1.2.0","ISC","https://github.com/iarna/aproba"
"are-we-there-yet@1.1.6","ISC","https://github.com/npm/are-we-there-yet"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"base64-arraybuffer@0.1.4","MIT","https://github.com/niklasvh/base64-arraybuffer"
"base64id@2.0.0","MIT","https://github.com/faeldt/base64id"
"bcrypt@5.0.1","MIT","https://github.com/kelektiv/node.bcrypt.js"
"body-parser@1.19.0","MIT","https://github.com/expressjs/body-parser"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"buildmail@3.10.0","MIT","https://github.com/andris9/buildmail"
"bytes@3.1.0","MIT","https://github.com/visionmedia/bytes.js"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chownr@2.0.0","ISC","https://github.com/isaacs/chownr"
"code-point-at@1.1.0","MIT","https://github.com/sindresorhus/code-point-at"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"component-emitter@1.3.0","MIT","https://github.com/component/emitter"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"console-control-strings@1.1.0","ISC","https://github.com/iarna/console-control-strings"
"content-disposition@0.5.3","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.4","MIT","https://github.com/jshttp/content-type"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.4.0","MIT","https://github.com/jshttp/cookie"
"cookie@0.4.1","MIT","https://github.com/jshttp/cookie"
"cors@2.8.5","MIT","https://github.com/expressjs/cors"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@3.2.7","MIT","https://github.com/visionmedia/debug"
"debug@4.3.2","MIT","https://github.com/visionmedia/debug"
"debuglog@1.0.1","MIT","https://github.com/sam-github/node-debuglog"
"delegates@1.0.0","MIT","https://github.com/visionmedia/node-delegates"
"depd@1.1.2","MIT","https://github.com/dougwilson/nodejs-depd"
"destroy@1.0.4","MIT","https://github.com/stream-utils/destroy"
"detect-libc@1.0.3","Apache-2.0","https://github.com/lovell/detect-libc"
"dezalgo@1.0.3","ISC","https://github.com/npm/dezalgo"
"dkim-signer@0.2.2","MIT","https://github.com/andris9/dkim-signer"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl"
"engine.io-parser@4.0.3","MIT","https://github.com/socketio/engine.io-parser"
"engine.io@5.2.0","MIT","https://github.com/socketio/engine.io"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"express@4.17.1","MIT","https://github.com/expressjs/express"
"finalhandler@1.1.2","MIT","https://github.com/pillarjs/finalhandler"
"forwarded@0.2.0","MIT","https://github.com/jshttp/forwarded"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh"
"fs-minipass@2.1.0","ISC","https://github.com/npm/fs-minipass"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"gauge@2.7.4","ISC","https://github.com/iarna/gauge"
"glob@7.1.7","ISC","https://github.com/isaacs/node-glob"
"graceful-fs@4.2.8","ISC","https://github.com/isaacs/node-graceful-fs"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-unicode@2.0.1","ISC","https://github.com/iarna/has-unicode"
"has@1.0.3","MIT","https://github.com/tarruda/has"
"hosted-git-info@2.8.9","ISC","https://github.com/npm/hosted-git-info"
"http-errors@1.7.2","MIT","https://github.com/jshttp/http-errors"
"https-proxy-agent@5.0.0","MIT","https://github.com/TooTallNate/node-https-proxy-agent"
"iconv-lite@0.4.13","MIT","https://github.com/ashtuchkin/iconv-lite"
"iconv-lite@0.4.15","MIT","https://github.com/ashtuchkin/iconv-lite"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.3","ISC","https://github.com/isaacs/inherits"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"ipaddr.js@1.9.1","MIT","https://github.com/whitequark/ipaddr.js"
"is-core-module@2.6.0","MIT","https://github.com/inspect-js/is-core-module"
"is-fullwidth-code-point@1.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"json-parse-even-better-errors@2.3.1","MIT","https://github.com/npm/json-parse-even-better-errors"
"libbase64@0.1.0","MIT","https://github.com/andris9/libbase64"
"libmime@2.1.0","MIT","https://github.com/andris9/libmime"
"libmime@2.1.3","MIT","https://github.com/andris9/libmime"
"libqp@1.1.0","MIT","https://github.com/andris9/libqp"
"license-checker@25.0.1","BSD-3-Clause","https://github.com/davglass/license-checker"
"lru-cache@6.0.0","ISC","https://github.com/isaacs/node-lru-cache"
"mailcomposer@3.12.0","MIT","https://github.com/andris9/mailcomposer"
"make-dir@3.1.0","MIT","https://github.com/sindresorhus/make-dir"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer"
"merge-descriptors@1.0.1","MIT","https://github.com/component/merge-descriptors"
"methods@1.1.2","MIT","https://github.com/jshttp/methods"
"mime-db@1.49.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.32","MIT","https://github.com/jshttp/mime-types"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"minimatch@3.0.4","ISC","https://github.com/isaacs/minimatch"
"minimist@1.2.5","MIT","https://github.com/substack/minimist"
"minipass@3.1.3","ISC","https://github.com/isaacs/minipass"
"minizlib@2.1.2","MIT","https://github.com/isaacs/minizlib"
"mkdirp@0.5.5","MIT","https://github.com/substack/node-mkdirp"
"mkdirp@1.0.4","MIT","https://github.com/isaacs/node-mkdirp"
"ms@2.0.0","MIT","https://github.com/zeit/ms"
"ms@2.1.1","MIT","https://github.com/zeit/ms"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
"negotiator@0.6.2","MIT","https://github.com/jshttp/negotiator"
"node-addon-api@3.2.1","MIT","https://github.com/nodejs/node-addon-api"
"node-fetch@2.6.1","MIT","https://github.com/bitinn/node-fetch"
"node-uuid@1.4.8","MIT","https://github.com/broofa/node-uuid"
"nodemailer-fetch@1.6.0","MIT","https://github.com/nodemailer/nodemailer-fetch"
"nodemailer-shared@1.1.0","MIT","https://github.com/nodemailer/nodemailer-shared"
"nopt@4.0.3","ISC","https://github.com/npm/nopt"
"nopt@5.0.0","ISC","https://github.com/npm/nopt"
"normalize-package-data@2.5.0","BSD-2-Clause","https://github.com/npm/normalize-package-data"
"npm-normalize-package-bin@1.0.1","ISC","https://github.com/npm/npm-normalize-package-bin"
"npmlog@4.1.2","ISC","https://github.com/npm/npmlog"
"number-is-nan@1.0.1","MIT","https://github.com/sindresorhus/number-is-nan"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"on-finished@2.3.0","MIT","https://github.com/jshttp/on-finished"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"os-homedir@1.0.2","MIT","https://github.com/sindresorhus/os-homedir"
"os-tmpdir@1.0.2","MIT","https://github.com/sindresorhus/os-tmpdir"
"osenv@0.1.5","ISC","https://github.com/npm/osenv"
"parseurl@1.3.3","MIT","https://github.com/pillarjs/parseurl"
"path-is-absolute@1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute"
"path-parse@1.0.7","MIT","https://github.com/jbgutierrez/path-parse"
"path-to-regexp@0.1.7","MIT","https://github.com/component/path-to-regexp"
"proxy-addr@2.0.7","MIT","https://github.com/jshttp/proxy-addr"
"qs@6.7.0","BSD-3-Clause","https://github.com/ljharb/qs"
"range-parser@1.2.1","MIT","https://github.com/jshttp/range-parser"
"raw-body@2.4.0","MIT","https://github.com/stream-utils/raw-body"
"read-installed@4.0.3","ISC","https://github.com/isaacs/read-installed"
"read-package-json@2.1.2","ISC","https://github.com/npm/read-package-json"
"readable-stream@3.6.0","MIT","https://github.com/nodejs/readable-stream"
"readdir-scoped-modules@1.1.0","ISC","https://github.com/npm/readdir-scoped-modules"
"resolve@1.20.0","MIT","https://github.com/browserify/resolve"
"rimraf@3.0.2","ISC","https://github.com/isaacs/rimraf"
"safe-buffer@5.1.2","MIT","https://github.com/feross/safe-buffer"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"semver@5.7.1","ISC","https://github.com/npm/node-semver"
"semver@6.3.0","ISC","https://github.com/npm/node-semver"
"semver@7.3.5","ISC","https://github.com/npm/node-semver"
"send@0.17.1","MIT","https://github.com/pillarjs/send"
"sendmail@1.6.1","MIT","https://github.com/guileen/node-sendmail"
"serve-static@1.14.1","MIT","https://github.com/expressjs/serve-static"
"set-blocking@2.0.0","ISC","https://github.com/yargs/set-blocking"
"setprototypeof@1.1.1","ISC","https://github.com/wesleytodd/setprototypeof"
"signal-exit@3.0.3","ISC","https://github.com/tapjs/signal-exit"
"slide@1.1.6","ISC","https://github.com/isaacs/slide-flow-control"
"snsserver@1.0.0","ISC","https://github.com/teamN-nagoya/SnsServer"
"socket.io-adapter@2.3.2","MIT","https://github.com/socketio/socket.io-adapter"
"socket.io-parser@4.0.4","MIT","https://github.com/socketio/socket.io-parser"
"socket.io@4.2.0","MIT","https://github.com/socketio/socket.io"
"spdx-compare@1.0.0","MIT","https://github.com/kemitchell/spdx-compare.js"
"spdx-correct@3.1.1","Apache-2.0","https://github.com/jslicense/spdx-correct.js"
"spdx-exceptions@2.3.0","CC-BY-3.0","https://github.com/kemitchell/spdx-exceptions.json"
"spdx-expression-parse@3.0.1","MIT","https://github.com/jslicense/spdx-expression-parse.js"
"spdx-license-ids@3.0.10","CC0-1.0","https://github.com/jslicense/spdx-license-ids"
"spdx-ranges@2.1.1","(MIT AND CC-BY-3.0)","https://github.com/kemitchell/spdx-ranges.js"
"spdx-satisfies@4.0.1","MIT","https://github.com/kemitchell/spdx-satisfies.js"
"statuses@1.5.0","MIT","https://github.com/jshttp/statuses"
"string-width@1.0.2","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@1.3.0","MIT","https://github.com/nodejs/string_decoder"
"strip-ansi@3.0.1","MIT","https://github.com/chalk/strip-ansi"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color"
"tar@6.1.11","ISC","https://github.com/npm/node-tar"
"toidentifier@1.0.0","MIT","https://github.com/component/toidentifier"
"treeify@1.1.0","MIT","https://github.com/notatestuser/treeify"
"type-is@1.6.18","MIT","https://github.com/jshttp/type-is"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"util-extend@1.0.3","MIT","https://github.com/isaacs/util-extend"
"utils-merge@1.0.1","MIT","https://github.com/jaredhanson/utils-merge"
"validate-npm-package-license@3.0.4","Apache-2.0","https://github.com/kemitchell/validate-npm-package-license.js"
"vary@1.1.2","MIT","https://github.com/jshttp/vary"
"wide-align@1.1.3","ISC","https://github.com/iarna/wide-align"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"ws@7.4.6","MIT","https://github.com/websockets/ws"
"yallist@4.0.0","ISC","https://github.com/isaacs/yallist"